aid,actor_name,movie_credits,popularity
6905,Bruce Dern,115,3.098015
1907,Kathy Baker,61,2.930691
4940,Trevor Morgan,26,1.701412
38026,Chris Noth,33,2.354196
38085,Michael O'Keefe,45,0.352456
77003,Gavin O'Connor,1,0.009967
61216,Vyto Ruginis,30,0.0124
67015,Michael Gross,46,2.071115
67017,Shawn Christian,10,0.000253
67020,Susan Chuang,5,1e-06
14794,Charlotte Stewart,9,0.325156
4788,Ariana Richards,14,0.171391
166606,Tony Genaro,9,0.000743
73456,Lorna Scott,20,0.000266
75344,Barry Livingston,25,1.5e-05
1213791,John Pappas,1,8e-06
21414,Billy Rieck,5,0.0504
60950,David Spade,43,3.066993
35476,Brittany Daniel,13,1.153901
18326,Dennis Miller,29,1.196314
33527,Adam Beach,42,0.923793
10430,Fred Ward,64,2.03761
4690,Christopher Walken,118,6.709809
165867,Kid Rock,13,0.12
17190,Erik Per Sullivan,8,0.038856
1910,Caroline Aaron,65,0.129429
517,Pierce Brosnan,83,12.706597
