did,director_name,movie_credits,popularity
23945,Gérard Pirès,18,2e-05
42518,Peter Care,6,0.001905
21161,Jamie Mitchell,12,0.001126
5216,Gus Van Sant,59,1.121188
8297,Roger Avary,19,3.18413
77863,Toni Myers,27,0.003707
17087,Michael Moore,32,1.041635
19450,Bob Rafelson,25,0.183613
63709,Craig R. Baxley,25,0.036266
21712,Carl Franklin,14,0.003916
5877,Vincenzo Natali,15,0.020006
57895,Robert Harmon,24,0.000322
51851,Jake Kasdan,17,1.531882
58209,Rick Bota,17,0.000286
61069,Miguel Arteta,13,6e-05
33341,Rick Rosenthal,35,0.000225
6949,John Malkovich,12,7.904207
33485,Ron Underwood,20,0.606214
30365,Michael Caton-Jones,12,0.615342
239075,Dylan Kidd,4,0.006563
23393,Barbet Schroeder,55,1.231352
10099,Park Chan-wook,46,0.484684
1212412,Larry Shaw,12,0.000606
5696,Bruce Beresford,43,0.034182
66800,Morgan J. Freeman,8,0.226331
12648,Bob Dolman,6,0.566246
3224,Stephen Frears,52,0.557164
75847,Cess Silvera,3,0.005228
75865,Adam Doench,3,0.000141
75864,Lyndale V. Pettus,2,0.0037
69696,Daniel Algrant,5,2e-06
57691,Tamra Davis,16,0.438434
46076,Tom Dey,4,0.033064
78488,Cathy Malkasian,2,0
78485,Jeff McGrath,2,8e-06
72024,Malcolm D. Lee,18,0.012886
17272,David Semel,2,0.000377
1035,Paul Schrader,48,1.677972
20400,Tim Story,13,0.600822
52405,Michael Hoffman,21,0.011687
68215,Reginald Hudlin,11,0.038282
33254,Jim Gillespie,5,0.003053
73499,Bruce McCulloch,7,8.8e-05
74142,Roger Gould,9,0.000392
145446,Kirk R. Thatcher,9,0.07056
4489,Steve Oedekerk,32,0.879815
2388,Jonathan Frakes,7,1.312353
71329,Jonas Åkerlund,23,2.8e-05
3064,Peter Mullan,13,1.03874
240542,Leonardo Ricagni,1,1e-06
